dataset,trial,layer,mode,bit_setting,bits,model_id,query_source,eval_device,metric,value
synthetic,0,0,exact,exact,,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,1.0
synthetic,0,0,key_only_random,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9510997533798218
synthetic,0,0,key_only_block_so8_static,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9495928287506104
synthetic,0,0,key_only_block_so8_learned,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9442172050476074
synthetic,0,0,protected_v,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9442172050476074
synthetic,0,0,protected_v_lowrank,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9442172050476074
synthetic,0,0,full_kv,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9510997533798218
synthetic,0,0,key_only_random,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9651561379432678
synthetic,0,0,key_only_block_so8_static,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9709874391555786
synthetic,0,0,key_only_block_so8_learned,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9758527278900146
synthetic,0,0,protected_v,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9758527278900146
synthetic,0,0,protected_v_lowrank,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9758527278900146
synthetic,0,0,full_kv,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9651561379432678
synthetic,0,0,key_only_random,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9824132323265076
synthetic,0,0,key_only_block_so8_static,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9818575382232666
synthetic,0,0,key_only_block_so8_learned,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9835761785507202
synthetic,0,0,protected_v,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9835761785507202
synthetic,0,0,protected_v_lowrank,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9835761785507202
synthetic,0,0,full_kv,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9824132323265076
synthetic,0,0,key_only_random,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9865583777427673
synthetic,0,0,key_only_block_so8_static,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9877797365188599
synthetic,0,0,key_only_block_so8_learned,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9862741827964783
synthetic,0,0,protected_v,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9862741827964783
synthetic,0,0,protected_v_lowrank,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9862741827964783
synthetic,0,0,full_kv,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9865583777427673
synthetic,0,0,key_only_random,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9945105314254761
synthetic,0,0,key_only_block_so8_static,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9939162135124207
synthetic,0,0,key_only_block_so8_learned,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9946768879890442
synthetic,0,0,protected_v,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9946768879890442
synthetic,0,0,protected_v_lowrank,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9946768879890442
synthetic,0,0,full_kv,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9945105314254761
synthetic,0,1,exact,exact,,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,1.0
synthetic,0,1,key_only_random,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9482274055480957
synthetic,0,1,key_only_block_so8_static,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9560188055038452
synthetic,0,1,key_only_block_so8_learned,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9522461295127869
synthetic,0,1,protected_v,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9522461295127869
synthetic,0,1,protected_v_lowrank,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9522461295127869
synthetic,0,1,full_kv,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9482274055480957
synthetic,0,1,key_only_random,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.970116913318634
synthetic,0,1,key_only_block_so8_static,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9708172678947449
synthetic,0,1,key_only_block_so8_learned,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9732962250709534
synthetic,0,1,protected_v,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9732962250709534
synthetic,0,1,protected_v_lowrank,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9732962250709534
synthetic,0,1,full_kv,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.970116913318634
synthetic,0,1,key_only_random,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.981091320514679
synthetic,0,1,key_only_block_so8_static,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.982647180557251
synthetic,0,1,key_only_block_so8_learned,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9857521653175354
synthetic,0,1,protected_v,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9857521653175354
synthetic,0,1,protected_v_lowrank,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9857521653175354
synthetic,0,1,full_kv,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.981091320514679
synthetic,0,1,key_only_random,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9862246513366699
synthetic,0,1,key_only_block_so8_static,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9863886833190918
synthetic,0,1,key_only_block_so8_learned,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9888523817062378
synthetic,0,1,protected_v,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9888523817062378
synthetic,0,1,protected_v_lowrank,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9888523817062378
synthetic,0,1,full_kv,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9862246513366699
synthetic,0,1,key_only_random,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9951449036598206
synthetic,0,1,key_only_block_so8_static,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9955440759658813
synthetic,0,1,key_only_block_so8_learned,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9945816397666931
synthetic,0,1,protected_v,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9945816397666931
synthetic,0,1,protected_v_lowrank,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9945816397666931
synthetic,0,1,full_kv,4,4.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9951449036598206
synthetic,1,0,exact,exact,,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,1.0
synthetic,1,0,key_only_random,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9478829503059387
synthetic,1,0,key_only_block_so8_static,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9550804495811462
synthetic,1,0,key_only_block_so8_learned,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9457395076751709
synthetic,1,0,protected_v,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9457395076751709
synthetic,1,0,protected_v_lowrank,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9457395076751709
synthetic,1,0,full_kv,2,2.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9478829503059387
synthetic,1,0,key_only_random,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9706301093101501
synthetic,1,0,key_only_block_so8_static,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9743312001228333
synthetic,1,0,key_only_block_so8_learned,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9724653959274292
synthetic,1,0,protected_v,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9724653959274292
synthetic,1,0,protected_v_lowrank,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9724653959274292
synthetic,1,0,full_kv,2.5,2.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9706301093101501
synthetic,1,0,key_only_random,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9833170175552368
synthetic,1,0,key_only_block_so8_static,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9825401902198792
synthetic,1,0,key_only_block_so8_learned,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9798276424407959
synthetic,1,0,protected_v,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9798276424407959
synthetic,1,0,protected_v_lowrank,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9798276424407959
synthetic,1,0,full_kv,3,3.0,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9833170175552368
synthetic,1,0,key_only_random,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9853825569152832
synthetic,1,0,key_only_block_so8_static,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.9863377809524536
synthetic,1,0,key_only_block_so8_learned,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.987135112285614
synthetic,1,0,protected_v,3.5,3.5,Qwen/Qwen3.5-9B,synthetic,cpu,logit_cosine_similarity,0.987135112285614
