dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high,model_id,query_source
captured,exact,exact,,decode_seconds,4,0.02865742499852786,0.05420230545607287,0.027101152728036437,-0.05759053836974118,0.1149053883667969,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_mae,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_mse,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_mae,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_mse,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_spearman,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top5_overlap,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,memory_bits,4,598016.0,170004.56100548204,85002.28050274102,327500.8064733625,868531.1935266375,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,memory_ratio_vs_exact,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,peak_vram_mb,4,14.31787109375,4.068733362963718,2.034366681481859,7.843608364675781,20.79213382282422,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,prefill_seconds,4,0.0007128500001272187,0.00027745984974050043,0.00013872992487025022,0.0002713494632916045,0.0011543505369628329,H:\Qwen3.5-9B-official-hf,captured
