dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high,model_id,query_source
synthetic,exact,exact,,decode_seconds,4,0.011286750002909685,0.02181915504878302,0.01090957752439151,-0.023432394681796254,0.04600589468761562,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,hidden_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,hidden_mae,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,hidden_mse,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,logit_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,logit_mae,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,logit_mse,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,logit_spearman,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,logit_top5_overlap,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,memory_bits,4,524288.0,0.0,0.0,524288.0,524288.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,memory_ratio_vs_exact,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,prefill_seconds,4,0.01061709999703453,0.01988014533835604,0.00994007266917802,-0.021016647543242624,0.04225084753731168,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,decode_seconds,4,0.0013532749981095549,0.0003695211960303201,0.00018476059801516006,0.0007652843155942004,0.0019412656806249095,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,hidden_cosine_similarity,4,0.942179873585701,0.003195436897819801,0.0015977184489099005,0.9370952204110841,0.9472645267603179,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,hidden_mae,4,0.2700665146112442,0.007652307906571101,0.0038261539532855504,0.25788998509916394,0.28224304412332446,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,hidden_mse,4,0.11554468050599098,0.007627249893910606,0.003813624946955303,0.1034080238838153,0.12768133712816665,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,logit_cosine_similarity,4,0.9476701617240906,0.003149324840007095,0.0015746624200035475,0.9426588831234812,0.9526814403246999,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,logit_mae,4,6.891741037368774,0.20546859563844108,0.10273429781922054,6.56479465084808,7.2186874238894685,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,logit_mse,4,75.50482940673828,4.639777308672028,2.319888654336014,68.12190833007705,82.88775048339951,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,logit_spearman,4,0.9444034397602081,0.004863392808053209,0.0024316964040266044,0.936664696523642,0.9521421829967742,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,logit_top5_overlap,4,0.6250000149011612,0.04082479011280624,0.02041239505640312,0.5600386636719197,0.6899613661304027,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,memory_bits,4,38912.0,0.0,0.0,38912.0,38912.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,memory_ratio_vs_exact,4,0.07421875,0.0,0.0,0.07421875,0.07421875,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,prefill_seconds,4,0.006590874996618368,0.001968614486109882,0.000984307243054941,0.003458370047694178,0.009723379945542558,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,decode_seconds,4,0.0022354249995260034,0.0013367827319886903,0.0006683913659943451,0.00010830536633376926,0.0043625446327182375,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,hidden_cosine_similarity,4,0.9594019949436188,0.0016586016170382623,0.0008293008085191311,0.9567627896495783,0.9620412002376593,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,hidden_mae,4,0.23077180236577988,0.004798492328436108,0.002399246164218054,0.22313633027499802,0.23840727445656174,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,hidden_mse,4,0.08335986733436584,0.004118468555928544,0.002059234277964272,0.07680646481474489,0.0899132698539868,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,logit_cosine_similarity,4,0.9704896211624146,0.0044565210738707495,0.0022282605369353748,0.9633983016494351,0.977580940675394,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,logit_mae,4,5.063750743865967,0.40495609154455225,0.20247804577227613,4.419375235196921,5.7081262525350125,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,logit_mse,4,40.142255783081055,6.043810003460644,3.021905001730322,30.525205375406035,49.75930619075608,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,logit_spearman,4,0.961561530828476,0.006281442188492481,0.0031407210942462406,0.9515663545861655,0.9715567070707865,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,logit_top5_overlap,4,0.7000000029802322,0.1099242425269178,0.0549621212634589,0.5250860032347824,0.8749140027256821,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,memory_bits,4,43008.0,0.0,0.0,43008.0,43008.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,memory_ratio_vs_exact,4,0.08203125,0.0,0.0,0.08203125,0.08203125,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,prefill_seconds,4,0.019583024997700704,0.022081417603943828,0.011040708801971914,-0.015553437936848123,0.05471948793224953,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,decode_seconds,4,0.0018967999967571814,0.0012597473720998584,0.0006298736860499292,-0.00010773918820784593,0.0039013391817222087,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,hidden_cosine_similarity,4,0.9836486726999283,0.0012450037326847518,0.0006225018663423759,0.9816675939353547,0.9856297514645018,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,hidden_mae,4,0.14513174444437027,0.006018777764130687,0.0030093888820653435,0.13555452591547956,0.15470896297326098,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,hidden_mse,4,0.033412160351872444,0.002848774695309702,0.001424387347654851,0.028879124100035403,0.037945196603709486,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,logit_cosine_similarity,4,0.9814544022083282,0.0018765279885160386,0.0009382639942580193,0.978468427426421,0.9844403769902355,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,logit_mae,4,4.023046433925629,0.18863823239300823,0.09431911619650411,3.7228809110684393,4.323211956782818,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,logit_mse,4,25.49392604827881,2.5443853024736978,1.2721926512368489,21.445241245741016,29.5426108508166,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,logit_spearman,4,0.9742643535137177,0.004804403531421048,0.002402201765710524,0.9666194753798862,0.9819092316475491,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,logit_top5_overlap,4,0.7625000476837158,0.07772812938041457,0.038864064690207284,0.6388172486020587,0.886182846765373,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,memory_bits,4,55296.0,0.0,0.0,55296.0,55296.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,memory_ratio_vs_exact,4,0.10546875,0.0,0.0,0.10546875,0.10546875,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,prefill_seconds,4,0.013816900001984322,0.012893331078704199,0.006446665539352099,-0.006699266925126568,0.03433306692909521,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3.5,3.5,decode_seconds,4,0.0020911750034429133,0.0007894738028431112,0.0003947369014215556,0.0008349460099547445,0.003347403996931082,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3.5,3.5,hidden_cosine_similarity,4,0.9888864159584045,0.00041299686031293716,0.00020649843015646858,0.9882292457923062,0.9895435861245029,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3.5,3.5,hidden_mae,4,0.12067043781280518,0.0028188855902431483,0.0014094427951215742,0.11618496179696178,0.12515591382864857,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3.5,3.5,hidden_mse,4,0.022940514609217644,0.0009269251626537956,0.0004634625813268978,0.021465569829636606,0.02441545938879868,Qwen/Qwen3.5-9B,synthetic
