dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,capture_id,prompt_label,prompt_hash,model_id,query_source,eval_device
captured,0,0,exact,exact,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,524288.0,1.0,0.0013814999983878806,0.12694259999261703,8.21484375,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,2,2.0,1.0,15.625,378.0,0.9758568406105042,1.0,1.0,0.8125,1.0,0.008544921875,0.00029754638671875,296960.0,0.56640625,0.6665912000025855,0.007374499997240491,9.40869140625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,2,2.0,0.9921875,16.875,440.0,0.9699092507362366,1.0,1.0,0.8500000238418579,1.0,0.006500244140625,0.00016498565673828125,296960.0,0.56640625,0.07123299999511801,0.00715979999222327,9.40869140625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,2,2.0,0.9921875,16.5,416.0,0.9747479557991028,1.0,1.0,0.7625000476837158,1.0078125,0.00775146484375,0.0002498626708984375,296960.0,0.56640625,0.01143870000669267,0.006620300002396107,17.53662109375,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,2,2.0,0.9921875,16.5,416.0,0.9747479557991028,1.0,1.0,0.7625000476837158,0.9609375,0.14453125,0.0380859375,107264.0,0.20458984375,2.756672100003925,0.006840899994131178,17.55615234375,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,2,2.0,0.9921875,16.5,416.0,0.9747479557991028,1.0,1.0,0.7625000476837158,0.9609375,0.1396484375,0.0341796875,111360.0,0.21240234375,0.24557260000437964,0.0028477000014390796,20.9931640625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,2,2.0,1.0,15.625,378.0,0.9758568406105042,1.0,1.0,0.8125,0.94921875,0.1728515625,0.049072265625,68608.0,0.130859375,0.014082100009545684,0.003978499997174367,17.5830078125,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,2.5,2.5,0.9921875,10.4375,178.0,0.98432457447052,1.0,1.0,0.8500000238418579,1.0078125,0.00738525390625,0.000431060791015625,301056.0,0.57421875,0.015694100002292544,0.003710100005264394,17.40087890625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,2.5,2.5,1.0,14.375,336.0,0.9759072661399841,1.0,1.0,0.8125,1.0078125,0.007171630859375,0.0004100799560546875,301056.0,0.57421875,0.014710199990076944,0.006569000004674308,17.40087890625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,2.5,2.5,1.0,13.4375,302.0,0.9721270203590393,1.0,1.0,0.824999988079071,1.0078125,0.0101318359375,0.0004138946533203125,301056.0,0.57421875,0.01909509999677539,0.005875300004845485,17.40380859375,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,2.5,2.5,1.0,13.4375,302.0,0.9721270203590393,1.0,1.0,0.824999988079071,0.9609375,0.14453125,0.037841796875,111360.0,0.21240234375,0.019030600000405684,0.00805999999283813,17.47216796875,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,2.5,2.5,1.0,13.4375,302.0,0.9721270203590393,1.0,1.0,0.824999988079071,0.9609375,0.1396484375,0.0341796875,115456.0,0.22021484375,0.019180799994501285,0.0029208000050857663,20.994140625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,2.5,2.5,0.9921875,10.4375,178.0,0.98432457447052,1.0,1.0,0.8500000238418579,0.96484375,0.146484375,0.034912109375,76800.0,0.146484375,0.04476570000406355,0.00282169999263715,17.451171875,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,3.5,3.5,0.9921875,7.3125,92.0,0.9912298321723938,1.0,1.0,0.887499988079071,1.0,0.006256103515625,0.00015163421630859375,317440.0,0.60546875,0.010083199988002889,0.002927499997895211,17.40087890625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,3.5,3.5,1.0,8.875,124.5,0.9857863187789917,1.0,1.0,0.875,1.0,0.0038604736328125,4.38690185546875e-05,317440.0,0.60546875,0.008589899996877648,0.002619200007757172,17.40087890625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,3.5,3.5,1.0,9.125,123.0,0.9908266067504883,1.0,1.0,0.9125000238418579,1.0,0.0032501220703125,3.266334533691406e-05,317440.0,0.60546875,0.021831999998539686,0.00812670000595972,17.40380859375,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,3.5,3.5,1.0,9.125,123.0,0.9908266067504883,1.0,1.0,0.9125000238418579,0.98828125,0.08056640625,0.011962890625,142464.0,0.271728515625,0.012815599999157712,0.003395399995497428,17.47216796875,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,3.5,3.5,1.0,9.125,123.0,0.9908266067504883,1.0,1.0,0.9125000238418579,0.98828125,0.0791015625,0.010986328125,146560.0,0.279541015625,0.038366699998732656,0.002656399999978021,20.994140625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,3.5,3.5,0.9921875,7.3125,92.0,0.9912298321723938,1.0,1.0,0.887499988079071,0.98828125,0.078125,0.010009765625,109568.0,0.208984375,0.131996900003287,0.0029869999998481944,17.451171875,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,4,4.0,0.9921875,4.75,37.0,0.9940020442008972,1.0,1.0,0.9375,1.0,0.0026702880859375,2.777576446533203e-05,329728.0,0.62890625,0.005586999992374331,0.002250000005005859,17.53369140625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,4,4.0,1.0,7.78125,109.0,0.9904738068580627,1.0,1.0,0.875,1.0,0.003631591796875,4.220008850097656e-05,329728.0,0.62890625,0.013681299999007024,0.005323699995642528,17.53369140625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,4,4.0,1.0,5.96875,56.0,0.9915826320648193,1.0,1.0,0.8999999761581421,1.0,0.0022125244140625,1.5616416931152344e-05,329728.0,0.62890625,0.013801000008243136,0.002023699998972006,17.53662109375,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,4,4.0,1.0,5.96875,56.0,0.9915826320648193,1.0,1.0,0.8999999761581421,0.99609375,0.04296875,0.003631591796875,169472.0,0.3232421875,0.013226099996245466,0.0024982999893836677,17.55615234375,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,4,4.0,1.0,5.96875,56.0,0.9915826320648193,1.0,1.0,0.8999999761581421,0.99609375,0.041748046875,0.0031890869140625,173568.0,0.3310546875,0.017786500000511296,0.002555300001404248,20.9931640625,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,4,4.0,0.9921875,4.75,37.0,0.9940020442008972,1.0,1.0,0.9375,0.99609375,0.05029296875,0.00408935546875,134144.0,0.255859375,0.013044100007391535,0.002802300004987046,17.5830078125,coding-ca766984,coding,ca7669847a89be275954e36db2667fc58ca706b565d2790513a6931dfd2606f1,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,exact,exact,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,393216.0,1.0,0.00028619999648071826,0.0027688999980455264,16.32421875,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,2,2.0,0.99609375,14.6875,332.0,0.9870306253433228,1.0,1.0,0.8999999761581421,0.9921875,0.01153564453125,0.0006866455078125,222720.0,0.56640625,0.011910799992620014,0.005430599994724616,17.34228515625,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,2,2.0,1.0,13.8125,306.0,0.9855484366416931,1.0,1.0,0.9124999642372131,1.0,0.015869140625,0.001983642578125,222720.0,0.56640625,0.006894800011650659,0.002026799993473105,17.34228515625,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,2,2.0,0.99609375,16.25,432.0,0.97826087474823,1.0,1.0,0.8500000238418579,1.0,0.01165771484375,0.000774383544921875,222720.0,0.56640625,0.004504500000621192,0.0018458999984432012,17.34521484375,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,2,2.0,0.99609375,16.25,432.0,0.97826087474823,1.0,1.0,0.8500000238418579,0.94921875,0.162109375,0.048095703125,80960.0,0.20589192708333334,0.016833000001497567,0.002056600002106279,17.36083984375,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,2,2.0,0.99609375,16.25,432.0,0.97826087474823,1.0,1.0,0.8500000238418579,0.96484375,0.16015625,0.045654296875,84032.0,0.21370442708333334,0.11203479999676347,0.004175099995336495,20.873046875,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
