dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,model_id,query_source,eval_device
synthetic,0,0,exact,exact,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,524288.0,1.0,0.0404149999958463,0.04401140000845771,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,key_only_random,2,2.0,0.9510997533798218,6.696684837341309,69.61865997314453,0.9448924660682678,1.0,1.0,0.625,1.0,0.0003005688777193427,2.1845173137080565e-07,282624.0,0.5390625,0.3490400000009686,0.11877699999604374,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,key_only_block_so8_static,2,2.0,0.9495928287506104,7.140697956085205,79.94371795654297,0.9402481913566589,1.0,1.0,0.7250000238418579,0.9999992847442627,0.0005166855989955366,1.47126343108539e-06,282624.0,0.5390625,0.24707529999432154,0.20674290000170004,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,key_only_block_so8_learned,2,2.0,0.9442172050476074,7.075198173522949,85.17459106445312,0.9404761791229248,1.0,1.0,0.75,0.999996542930603,0.0008649695664644241,7.904394806246273e-06,282624.0,0.5390625,0.006256000007851981,0.002439200005028397,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,protected_v,2,2.0,0.9442172050476074,7.075198173522949,85.17459106445312,0.9404761791229248,1.0,1.0,0.75,0.9530871510505676,0.2292647361755371,0.09498201310634613,71040.0,0.135498046875,3.6624870999949053,0.002294100006110966,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,protected_v_lowrank,2,2.0,0.9442172050476074,7.075198173522949,85.17459106445312,0.9404761791229248,1.0,1.0,0.75,0.9619284868240356,0.2127423733472824,0.07728345692157745,79232.0,0.151123046875,0.018603199991048314,0.0025117000041063875,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,full_kv,2,2.0,0.9510997533798218,6.696684837341309,69.61865997314453,0.9448924660682678,1.0,1.0,0.625,0.9408878087997437,0.2734907865524292,0.11868838220834732,38912.0,0.07421875,0.007942799988086335,0.0018225999956484884,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,key_only_random,2.5,2.5,0.9651561379432678,5.565550327301025,47.360286712646484,0.9590653777122498,1.0,1.0,0.574999988079071,0.9999996423721313,0.0005292432033456862,1.169974325421208e-06,284672.0,0.54296875,0.006530499988002703,0.0026890000008279458,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,key_only_block_so8_static,2.5,2.5,0.9709874391555786,5.052091598510742,40.28428649902344,0.9617895483970642,1.0,1.0,0.800000011920929,0.9999998807907104,0.0002613671822473407,3.230126708331227e-07,284672.0,0.54296875,0.008650799994939007,0.0038491000013891608,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
synthetic,0,0,key_only_block_so8_learned,2.5,2.5,0.9758527278900146,4.596400737762451,33.44730758666992,0.9675019383430481,1.0,1.0,0.7750000357627869,0.9999991059303284,0.0006116207223385572,2.168560058635194e-06,284672.0,0.54296875,0.005711100006010383,0.0014550000050803646,0.0,Qwen/Qwen3.5-9B,synthetic,cpu
