experiment,mode,bits,metric,n,mean,std,sem,ci95_low,ci95_high
mse,stage1,2.0,mse,2,0.0009049382933881134,6.608905727924077e-07,4.67320205643773e-07,0.0008990004271778523,0.0009108761595983745
mse,stage1,3.0,mse,2,0.0002637441211845726,5.283996495926343e-07,3.7363497540354723e-07,0.0002589966386904995,0.00026849160367864563
mse,stage1,4.0,mse,2,7.26244252291508e-05,1.652843817457253e-07,1.1687370715662837e-07,7.113940397774295e-05,7.410944648055865e-05
prod,stage2,2.0,bias,2,0.0012607129174284637,0.0004180168063884124,0.00029558251844719047,-0.0024950190783956717,0.005016444913252599
prod,stage2,2.0,mae,2,0.052678538486361504,0.0003028540825091249,0.00021415017545223236,0.04995750251277771,0.0553995744599453
prod,stage2,2.0,variance,2,0.004335918230935931,8.562692037819908e-05,6.0547376051545136e-05,0.0035665908745868384,0.005105245587285024
prod,stage2,3.0,bias,2,0.0009787722956389189,0.001334755460208837,0.0009438146371394396,-0.011013529716853229,0.012971074308131067
prod,stage2,3.0,mae,2,0.030166631564497948,2.6721101955906815e-05,1.8894672393798825e-05,0.02992655198863939,0.030406711140356504
prod,stage2,3.0,variance,2,0.001425719412509352,1.795068851665646e-05,1.2693053577095268e-05,0.001264438875031545,0.001586999949987159
prod,stage2,4.0,bias,2,0.00027798490918939933,0.00037587058555275254,0.0002657806398929097,-0.0030990783162014304,0.003655048134580229
prod,stage2,4.0,mae,2,0.016056226566433907,0.0005253025147715916,0.000371444970369339,0.011336570724698743,0.02077588240816907
prod,stage2,4.0,variance,2,0.0004100927908439189,2.177514458773435e-05,1.5397352399304506e-05,0.00021445087886332522,0.0006057347028245126
prod_mixed,stage2_mixed,2.5,bias,2,0.0005803666426800191,0.00041890575915612556,0.00029621110297739506,-0.003183352276878888,0.0043440855622389266
prod_mixed,stage2_mixed,2.5,mae,2,0.03855890594422817,0.0008509896524614933,0.0006017405539751052,0.030913067267361306,0.046204744621095035
prod_mixed,stage2_mixed,2.5,variance,2,0.0023335914593189955,4.483766137051142e-05,3.1705014407634735e-05,0.00193074105509222,0.002736441863545771
prod_mixed,stage2_mixed,3.5,bias,2,-0.00014602327428292483,0.0005574519373682524,0.0003941780450986698,-0.005154530217811725,0.004862483669245876
prod_mixed,stage2_mixed,3.5,mae,2,0.025512496940791607,0.0005091431496347116,0.00036001857370138163,0.02093802723451625,0.030086966647066962
prod_mixed,stage2_mixed,3.5,variance,2,0.0010195599170401692,3.822933186903183e-05,2.70322198048234e-05,0.0006760829977268068,0.0013630368363535318
