experiment,mode,bits,metric,trial,value
mse,stage1,2.0,mse,0,0.0009044709731824696
mse,stage1,3.0,mse,0,0.00026337048620916903
mse,stage1,4.0,mse,0,7.250755152199417e-05
prod,stage2,2.0,bias,0,0.0015562954358756542
prod,stage2,2.0,variance,0,0.004396465606987476
prod,stage2,2.0,mae,0,0.052892688661813736
prod,stage2,3.0,bias,0,3.4957658499479294e-05
prod,stage2,3.0,variance,0,0.0014384124660864472
prod,stage2,3.0,mae,0,0.03014773689210415
prod,stage2,4.0,bias,0,0.000543765549082309
prod,stage2,4.0,variance,0,0.00042549014324322343
prod,stage2,4.0,mae,0,0.016427671536803246
prod_mixed,stage2_mixed,2.5,bias,0,0.0002841555397026241
prod_mixed,stage2_mixed,2.5,variance,0,0.0023018864449113607
prod_mixed,stage2_mixed,2.5,mae,0,0.03795716539025307
prod_mixed,stage2_mixed,3.5,bias,0,-0.0005402013193815947
prod_mixed,stage2_mixed,3.5,variance,0,0.0009925276972353458
prod_mixed,stage2_mixed,3.5,mae,0,0.025152478367090225
mse,stage1,2.0,mse,1,0.0009054056135937572
mse,stage1,3.0,mse,1,0.0002641177561599761
mse,stage1,4.0,mse,1,7.274129893630743e-05
prod,stage2,2.0,bias,1,0.0009651303989812732
prod,stage2,2.0,variance,1,0.004275370854884386
prod,stage2,2.0,mae,1,0.05246438831090927
prod,stage2,3.0,bias,1,0.0019225869327783585
prod,stage2,3.0,variance,1,0.0014130263589322567
prod,stage2,3.0,mae,1,0.030185526236891747
prod,stage2,4.0,bias,1,1.2204269296489656e-05
prod,stage2,4.0,variance,1,0.0003946954384446144
prod,stage2,4.0,mae,1,0.015684781596064568
prod_mixed,stage2_mixed,2.5,bias,1,0.0008765777456574142
prod_mixed,stage2_mixed,2.5,variance,1,0.00236529647372663
prod_mixed,stage2_mixed,2.5,mae,1,0.03916064649820328
prod_mixed,stage2_mixed,3.5,bias,1,0.000248154770815745
prod_mixed,stage2_mixed,3.5,variance,1,0.0010465921368449926
prod_mixed,stage2_mixed,3.5,mae,1,0.02587251551449299
