dataset,trial,layer,mode,bit_setting,bits,metric,value
synthetic_replay,0,0,exact,exact,,logit_cosine_similarity,1.0
synthetic_replay,0,0,key_only_random,2,2.0,logit_cosine_similarity,0.9495428204536438
synthetic_replay,0,0,key_only_block_so8_static,2,2.0,logit_cosine_similarity,0.9504263401031494
synthetic_replay,0,0,key_only_block_so8_learned,2,2.0,logit_cosine_similarity,0.9594609141349792
synthetic_replay,0,0,protected_v,2,2.0,logit_cosine_similarity,0.9594609141349792
synthetic_replay,0,0,protected_v_lowrank,2,2.0,logit_cosine_similarity,0.9594609141349792
synthetic_replay,0,0,full_kv,2,2.0,logit_cosine_similarity,0.9495428204536438
synthetic_replay,0,0,key_only_random,2.5,2.5,logit_cosine_similarity,0.9744390249252319
synthetic_replay,0,0,key_only_block_so8_static,2.5,2.5,logit_cosine_similarity,0.974496066570282
synthetic_replay,0,0,key_only_block_so8_learned,2.5,2.5,logit_cosine_similarity,0.9776058197021484
synthetic_replay,0,0,protected_v,2.5,2.5,logit_cosine_similarity,0.9776058197021484
synthetic_replay,0,0,protected_v_lowrank,2.5,2.5,logit_cosine_similarity,0.9776058197021484
synthetic_replay,0,0,full_kv,2.5,2.5,logit_cosine_similarity,0.9744390249252319
synthetic_replay,0,0,key_only_random,3,3.0,logit_cosine_similarity,0.9852868318557739
synthetic_replay,0,0,key_only_block_so8_static,3,3.0,logit_cosine_similarity,0.9843403697013855
synthetic_replay,0,0,key_only_block_so8_learned,3,3.0,logit_cosine_similarity,0.9825973510742188
synthetic_replay,0,0,protected_v,3,3.0,logit_cosine_similarity,0.9825973510742188
synthetic_replay,0,0,protected_v_lowrank,3,3.0,logit_cosine_similarity,0.9825973510742188
synthetic_replay,0,0,full_kv,3,3.0,logit_cosine_similarity,0.9852868318557739
synthetic_replay,0,0,key_only_random,3.5,3.5,logit_cosine_similarity,0.9897123575210571
synthetic_replay,0,0,key_only_block_so8_static,3.5,3.5,logit_cosine_similarity,0.989556610584259
synthetic_replay,0,0,key_only_block_so8_learned,3.5,3.5,logit_cosine_similarity,0.9886865615844727
synthetic_replay,0,0,protected_v,3.5,3.5,logit_cosine_similarity,0.9886865615844727
synthetic_replay,0,0,protected_v_lowrank,3.5,3.5,logit_cosine_similarity,0.9886865615844727
synthetic_replay,0,0,full_kv,3.5,3.5,logit_cosine_similarity,0.9897123575210571
synthetic_replay,0,0,key_only_random,4,4.0,logit_cosine_similarity,0.9960640072822571
synthetic_replay,0,0,key_only_block_so8_static,4,4.0,logit_cosine_similarity,0.9954398274421692
synthetic_replay,0,0,key_only_block_so8_learned,4,4.0,logit_cosine_similarity,0.9951032400131226
synthetic_replay,0,0,protected_v,4,4.0,logit_cosine_similarity,0.9951032400131226
synthetic_replay,0,0,protected_v_lowrank,4,4.0,logit_cosine_similarity,0.9951032400131226
synthetic_replay,0,0,full_kv,4,4.0,logit_cosine_similarity,0.9960640072822571
synthetic_replay,1,0,exact,exact,,logit_cosine_similarity,1.0
synthetic_replay,1,0,key_only_random,2,2.0,logit_cosine_similarity,0.9495540261268616
synthetic_replay,1,0,key_only_block_so8_static,2,2.0,logit_cosine_similarity,0.9504697322845459
synthetic_replay,1,0,key_only_block_so8_learned,2,2.0,logit_cosine_similarity,0.9515963196754456
synthetic_replay,1,0,protected_v,2,2.0,logit_cosine_similarity,0.9515963196754456
synthetic_replay,1,0,protected_v_lowrank,2,2.0,logit_cosine_similarity,0.9515963196754456
synthetic_replay,1,0,full_kv,2,2.0,logit_cosine_similarity,0.9495540261268616
synthetic_replay,1,0,key_only_random,2.5,2.5,logit_cosine_similarity,0.9704911708831787
synthetic_replay,1,0,key_only_block_so8_static,2.5,2.5,logit_cosine_similarity,0.975058376789093
synthetic_replay,1,0,key_only_block_so8_learned,2.5,2.5,logit_cosine_similarity,0.9761373400688171
synthetic_replay,1,0,protected_v,2.5,2.5,logit_cosine_similarity,0.9761373400688171
synthetic_replay,1,0,protected_v_lowrank,2.5,2.5,logit_cosine_similarity,0.9761373400688171
synthetic_replay,1,0,full_kv,2.5,2.5,logit_cosine_similarity,0.9704911708831787
synthetic_replay,1,0,key_only_random,3,3.0,logit_cosine_similarity,0.9821498394012451
synthetic_replay,1,0,key_only_block_so8_static,3,3.0,logit_cosine_similarity,0.9829909205436707
synthetic_replay,1,0,key_only_block_so8_learned,3,3.0,logit_cosine_similarity,0.9816766977310181
synthetic_replay,1,0,protected_v,3,3.0,logit_cosine_similarity,0.9816766977310181
synthetic_replay,1,0,protected_v_lowrank,3,3.0,logit_cosine_similarity,0.9816766977310181
synthetic_replay,1,0,full_kv,3,3.0,logit_cosine_similarity,0.9821498394012451
synthetic_replay,1,0,key_only_random,3.5,3.5,logit_cosine_similarity,0.989575207233429
