dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high
synthetic_replay,exact,exact,,decode_seconds,2,0.0,0.0,0.0,0.0,0.0
synthetic_replay,exact,exact,,hidden_cosine_similarity,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,exact,exact,,hidden_mae,2,0.0,0.0,0.0,0.0,0.0
synthetic_replay,exact,exact,,hidden_mse,2,0.0,0.0,0.0,0.0,0.0
synthetic_replay,exact,exact,,logit_cosine_similarity,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,exact,exact,,logit_mae,2,0.0,0.0,0.0,0.0,0.0
synthetic_replay,exact,exact,,logit_mse,2,0.0,0.0,0.0,0.0,0.0
synthetic_replay,exact,exact,,logit_spearman,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,exact,exact,,logit_top1_match,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,exact,exact,,logit_top5_match,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,exact,exact,,logit_top5_overlap,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,exact,exact,,memory_bits,2,524288.0,0.0,0.0,524288.0,524288.0
synthetic_replay,exact,exact,,memory_ratio_vs_exact,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,exact,exact,,prefill_seconds,2,0.0,0.0,0.0,0.0,0.0
synthetic_replay,full_kv,2,2.0,decode_seconds,2,0.0015731999956187792,0.00027138758085700014,0.00019189999875379726,-0.0008651206774186373,0.004011520668656196
synthetic_replay,full_kv,2,2.0,hidden_cosine_similarity,2,0.9391930401325226,0.007997828120275762,0.005655318498611449,0.8673354054408894,1.0110506748241557
synthetic_replay,full_kv,2,2.0,hidden_mae,2,0.25906725227832794,0.005143200997208654,0.0036367923021316524,0.2128574247044991,0.3052770798521568
synthetic_replay,full_kv,2,2.0,hidden_mse,2,0.10755352303385735,0.003983999344121089,0.0028171129524707794,0.07175870909483406,0.14334833697288063
synthetic_replay,full_kv,2,2.0,logit_cosine_similarity,2,0.9495484232902527,7.923607520048078e-06,5.602836608886718e-06,0.9494772325011969,0.9496196140793085
synthetic_replay,full_kv,2,2.0,logit_mae,2,6.8323516845703125,0.12636839012803144,0.0893559455871582,5.696976745545395,7.96772662359523
synthetic_replay,full_kv,2,2.0,logit_mse,2,71.83724975585938,0.5992216385918776,0.42371368408203125,66.45345693639425,77.2210425753245
synthetic_replay,full_kv,2,2.0,logit_spearman,2,0.9491767585277557,0.009911463630064395,0.007008463144302368,0.8601257909303152,1.0382277261251962
synthetic_replay,full_kv,2,2.0,logit_top1_match,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,full_kv,2,2.0,logit_top5_match,2,1.0,0.0,0.0,1.0,1.0
synthetic_replay,full_kv,2,2.0,logit_top5_overlap,2,0.6875000298023224,0.017677694817772795,0.012500017881393433,0.5286722433954928,0.846327816209152
synthetic_replay,full_kv,2,2.0,memory_bits,2,38912.0,0.0,0.0,38912.0,38912.0
synthetic_replay,full_kv,2,2.0,memory_ratio_vs_exact,2,0.07421875,0.0,0.0,0.07421875,0.07421875
synthetic_replay,full_kv,2,2.0,prefill_seconds,2,0.008753499991144054,0.0025648177165467794,0.001813599999877624,-0.014290472916827435,0.03179747289911554
synthetic_replay,full_kv,2.5,2.5,decode_seconds,2,0.008748200001718942,0.0060068721074935175,0.004247500000928994,-0.04522140462698706,0.06271780463042495
synthetic_replay,full_kv,2.5,2.5,hidden_cosine_similarity,2,0.9575437307357788,0.0015374327399803925,0.0010871291160583496,0.9437304456124848,0.9713570158590729
synthetic_replay,full_kv,2.5,2.5,hidden_mae,2,0.21978218853473663,0.008058161333919107,0.005697980523109435,0.14738248142537236,0.2921818956441009
synthetic_replay,full_kv,2.5,2.5,hidden_mse,2,0.07732266187667847,0.004975962302317427,0.003518536686897278,0.032615414361219855,0.12202990939213708
synthetic_replay,full_kv,2.5,2.5,logit_cosine_similarity,2,0.9724650979042053,0.0027915543642705555,0.0019739270210266113,0.9473839770407738,0.9975462187676368
synthetic_replay,full_kv,2.5,2.5,logit_mae,2,4.819101095199585,0.33743205245046276,0.238600492477417,1.7873943876294147,7.850807802769755
