dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high
paper_synthetic_attention,exact,exact,,attention_output_relative_error,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,exact,exact,,decode_seconds,1,0.0030716000037500635,0.0,0.0,0.0030716000037500635,0.0030716000037500635
paper_synthetic_attention,exact,exact,,hidden_cosine_similarity,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,exact,exact,,hidden_mae,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,exact,exact,,hidden_mse,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,exact,exact,,logit_cosine_similarity,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,exact,exact,,logit_mae,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,exact,exact,,logit_mse,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,exact,exact,,logit_spearman,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,exact,exact,,logit_top1_match,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,exact,exact,,logit_top5_match,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,exact,exact,,logit_top5_overlap,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,exact,exact,,memory_bits,1,1048576.0,0.0,0.0,1048576.0,1048576.0
paper_synthetic_attention,exact,exact,,memory_ratio_vs_exact,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,exact,exact,,next_logit_kl,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,exact,exact,,peak_vram_mb,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,exact,exact,,prefill_seconds,1,0.0005486000009113923,0.0,0.0,0.0005486000009113923,0.0005486000009113923
paper_synthetic_attention,full_kv,8,8.0,attention_output_relative_error,1,0.022671986371278763,0.0,0.0,0.022671986371278763,0.022671986371278763
paper_synthetic_attention,full_kv,8,8.0,decode_seconds,1,0.0015666000108467415,0.0,0.0,0.0015666000108467415,0.0015666000108467415
paper_synthetic_attention,full_kv,8,8.0,hidden_cosine_similarity,1,0.9997431039810181,0.0,0.0,0.9997431039810181,0.9997431039810181
paper_synthetic_attention,full_kv,8,8.0,hidden_mae,1,0.01739555411040783,0.0,0.0,0.01739555411040783,0.01739555411040783
paper_synthetic_attention,full_kv,8,8.0,hidden_mse,1,0.00048588390927761793,0.0,0.0,0.00048588390927761793,0.00048588390927761793
paper_synthetic_attention,full_kv,8,8.0,logit_cosine_similarity,1,0.999716579914093,0.0,0.0,0.999716579914093,0.999716579914093
paper_synthetic_attention,full_kv,8,8.0,logit_mae,1,0.36880743503570557,0.0,0.0,0.36880743503570557,0.36880743503570557
paper_synthetic_attention,full_kv,8,8.0,logit_mse,1,0.21474525332450867,0.0,0.0,0.21474525332450867,0.21474525332450867
paper_synthetic_attention,full_kv,8,8.0,logit_spearman,1,0.9995298385620117,0.0,0.0,0.9995298385620117,0.9995298385620117
paper_synthetic_attention,full_kv,8,8.0,logit_top1_match,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,full_kv,8,8.0,logit_top5_match,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,full_kv,8,8.0,logit_top5_overlap,1,0.9750000238418579,0.0,0.0,0.9750000238418579,0.9750000238418579
paper_synthetic_attention,full_kv,8,8.0,memory_bits,1,274432.0,0.0,0.0,274432.0,274432.0
paper_synthetic_attention,full_kv,8,8.0,memory_ratio_vs_exact,1,0.26171875,0.0,0.0,0.26171875,0.26171875
paper_synthetic_attention,full_kv,8,8.0,next_logit_kl,1,9.944982693699981e-33,0.0,0.0,9.944982693699981e-33,9.944982693699981e-33
paper_synthetic_attention,full_kv,8,8.0,peak_vram_mb,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,full_kv,8,8.0,prefill_seconds,1,2.162253899994539,0.0,0.0,2.162253899994539,2.162253899994539
paper_synthetic_attention,key_only_random,8,8.0,attention_output_relative_error,1,5.8367655583424494e-05,0.0,0.0,5.8367655583424494e-05,5.8367655583424494e-05
paper_synthetic_attention,key_only_random,8,8.0,decode_seconds,1,0.004428400003234856,0.0,0.0,0.004428400003234856,0.004428400003234856
paper_synthetic_attention,key_only_random,8,8.0,hidden_cosine_similarity,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,key_only_random,8,8.0,hidden_mae,1,2.895222496590577e-05,0.0,0.0,2.895222496590577e-05,2.895222496590577e-05
paper_synthetic_attention,key_only_random,8,8.0,hidden_mse,1,3.2203120170493094e-09,0.0,0.0,3.2203120170493094e-09,3.2203120170493094e-09
paper_synthetic_attention,key_only_random,8,8.0,logit_cosine_similarity,1,0.999716579914093,0.0,0.0,0.999716579914093,0.999716579914093
paper_synthetic_attention,key_only_random,8,8.0,logit_mae,1,0.36880743503570557,0.0,0.0,0.36880743503570557,0.36880743503570557
paper_synthetic_attention,key_only_random,8,8.0,logit_mse,1,0.21474525332450867,0.0,0.0,0.21474525332450867,0.21474525332450867
paper_synthetic_attention,key_only_random,8,8.0,logit_spearman,1,0.9995298385620117,0.0,0.0,0.9995298385620117,0.9995298385620117
paper_synthetic_attention,key_only_random,8,8.0,logit_top1_match,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,key_only_random,8,8.0,logit_top5_match,1,1.0,0.0,0.0,1.0,1.0
paper_synthetic_attention,key_only_random,8,8.0,logit_top5_overlap,1,0.9750000238418579,0.0,0.0,0.9750000238418579,0.9750000238418579
paper_synthetic_attention,key_only_random,8,8.0,memory_bits,1,663552.0,0.0,0.0,663552.0,663552.0
paper_synthetic_attention,key_only_random,8,8.0,memory_ratio_vs_exact,1,0.6328125,0.0,0.0,0.6328125,0.6328125
paper_synthetic_attention,key_only_random,8,8.0,next_logit_kl,1,9.944982693699981e-33,0.0,0.0,9.944982693699981e-33,9.944982693699981e-33
paper_synthetic_attention,key_only_random,8,8.0,peak_vram_mb,1,0.0,0.0,0.0,0.0,0.0
paper_synthetic_attention,key_only_random,8,8.0,prefill_seconds,1,1.4764356000086991,0.0,0.0,1.4764356000086991,1.4764356000086991
