mode,bit_setting,logit_cosine_mean_pm_mse,logit_cosine_similarity_mean,logit_cosine_similarity_mse,hidden_cosine_mean_pm_mse,hidden_cosine_similarity_mean,hidden_cosine_similarity_mse,memory_ratio_mean_pm_mse,memory_ratio_vs_exact_mean,memory_ratio_vs_exact_mse
key_only_random,2,0.997233 ± 636.416667,0.9972330729166666,636.4166666666666,1.000651 ± 0.004301,1.0006510416666667,0.00430123507976532,0.566406 ± 0.566406,0.56640625,0.56640625
key_only_random,2.5,0.999023 ± 345.458333,0.9990234375,345.4583333333333,0.999674 ± 0.003244,0.9996744791666666,0.0032437071204185486,0.574219 ± 0.574219,0.57421875,0.57421875
key_only_random,3,0.999512 ± 197.625000,0.99951171875,197.625,1.001302 ± 0.000949,1.0013020833333333,0.0009489158789316813,0.597656 ± 0.597656,0.59765625,0.59765625
key_only_random,3.5,0.998698 ± 153.770833,0.9986979166666666,153.77083333333334,1.001302 ± 0.000966,1.0013020833333333,0.0009661167860031128,0.605469 ± 0.605469,0.60546875,0.60546875
key_only_random,4,0.999674 ± 61.697917,0.9996744791666666,61.697916666666664,1.001790 ± 0.000212,1.0017903645833333,0.00021201744675636292,0.628906 ± 0.628906,0.62890625,0.62890625
full_kv,2,0.997233 ± 636.416667,0.9972330729166666,636.4166666666666,0.942220 ± 0.641551,0.9422200520833334,0.6415506998697916,0.130859 ± 0.130859,0.130859375,0.130859375
full_kv,2.5,0.999023 ± 345.458333,0.9990234375,345.4583333333333,0.959961 ± 0.448954,0.9599609375,0.4489542643229167,0.146484 ± 0.146484,0.146484375,0.146484375
full_kv,3,0.999512 ± 197.625000,0.99951171875,197.625,0.982747 ± 0.190308,0.9827473958333334,0.1903076171875,0.193359 ± 0.193359,0.193359375,0.193359375
full_kv,3.5,0.998698 ± 153.770833,0.9986979166666666,153.77083333333334,0.990234 ± 0.130361,0.990234375,0.13036092122395834,0.208984 ± 0.208984,0.208984375,0.208984375
full_kv,4,0.999674 ± 61.697917,0.9996744791666666,61.697916666666664,0.995931 ± 0.051955,0.9959309895833334,0.05195490519205729,0.255859 ± 0.255859,0.255859375,0.255859375
