dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,next_logit_kl,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,attention_output_relative_error,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,key_mode,value_mode,value_rotation_policy,rotation_seed,qjl_seed
paper_captured:coding,0,0,exact,exact,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,524288.0,1.0,0.09569249999185558,0.11499659999390133,0.0,,,,,
paper_captured:coding,0,0,key_only_random,2,2.0,0.9921875,16.75,444.0,3.3765771098356013e-25,0.9784778356552124,1.0,1.0,0.875,1.0,0.00994873046875,0.0004062652587890625,0.0302734375,296960.0,0.56640625,0.34396250000281725,0.16990229999646544,0.0,key_only_random,exact,exact,20031.0,20103.0
paper_captured:coding,0,0,full_kv,2,2.0,0.9921875,16.75,444.0,3.3765771098356013e-25,0.9784778356552124,1.0,1.0,0.875,0.94921875,0.173828125,0.049560546875,0.3359375,68608.0,0.130859375,0.12132230000861455,0.050829500003601424,0.0,full_kv,full_kv,random_haar,20031.0,20103.0
paper_captured:coding,0,0,key_only_random,3,3.0,1.0,9.0625,137.0,-7.593259529295371e-26,0.9876008033752441,1.0,1.0,0.9000000357627869,1.0,0.005828857421875,0.000217437744140625,0.022216796875,313344.0,0.59765625,0.06829959999595303,0.025600300010410137,0.0,key_only_random,exact,exact,20041.0,20113.0
paper_captured:coding,0,0,full_kv,3,3.0,1.0,9.0625,137.0,-7.593259529295371e-26,0.9876008033752441,1.0,1.0,0.9000000357627869,0.98046875,0.09716796875,0.0152587890625,0.185546875,101376.0,0.193359375,0.09904359999927692,0.014235399998142384,0.0,full_kv,full_kv,random_haar,20041.0,20113.0
paper_captured:explain,0,0,exact,exact,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,393216.0,1.0,0.0007674000080442056,0.014757299999473616,0.0,,,,,
paper_captured:explain,0,0,key_only_random,2,2.0,0.99609375,15.6875,392.0,-2.3399285167900047e-20,0.9814723134040833,1.0,1.0,0.862500011920929,0.9921875,0.0126953125,0.00102996826171875,0.043212890625,222720.0,0.56640625,0.042472500004805624,0.0051860000094166026,0.0,key_only_random,exact,exact,20031.0,20103.0
paper_captured:explain,0,0,full_kv,2,2.0,0.99609375,15.6875,392.0,-2.3399285167900047e-20,0.9814723134040833,1.0,1.0,0.862500011920929,0.9375,0.1962890625,0.064453125,0.341796875,51456.0,0.130859375,0.04806010000174865,0.009877599994069897,0.0,full_kv,full_kv,random_haar,20031.0,20103.0
paper_captured:explain,0,0,key_only_random,3,3.0,1.0,8.375,111.0,6.225692162319107e-20,0.99048912525177,1.0,1.0,0.9125000238418579,1.0,0.0074462890625,0.0002765655517578125,0.0223388671875,235008.0,0.59765625,0.04184779999195598,0.03964820000692271,0.0,key_only_random,exact,exact,20041.0,20113.0
paper_captured:explain,0,0,full_kv,3,3.0,1.0,8.375,111.0,6.225692162319107e-20,0.99048912525177,1.0,1.0,0.9125000238418579,0.9765625,0.10595703125,0.0186767578125,0.1845703125,76032.0,0.193359375,0.056665600000997074,0.005165199996554293,0.0,full_kv,full_kv,random_haar,20041.0,20113.0
paper_captured:reasoning,0,0,exact,exact,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,753664.0,1.0,0.004808300000149757,0.018440299987560138,0.0,,,,,
paper_captured:reasoning,0,0,key_only_random,2,2.0,0.99609375,15.3125,386.0,-8.470329472543003e-21,0.9754446148872375,1.0,1.0,0.7749999761581421,0.99609375,0.0238037109375,0.00518798828125,0.0859375,426880.0,0.56640625,0.050111499993363395,0.006334500008961186,0.0,key_only_random,exact,exact,20031.0,20103.0
