dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high,model_id,query_source
captured,exact,exact,,decode_seconds,4,0.0286574249985278,0.0542023054560728,0.0271011527280364,-0.0575905383697411,0.1149053883667969,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_mae,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_mse,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_mae,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_mse,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_spearman,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top5_overlap,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,memory_bits,4,598016.0,170004.56100548204,85002.28050274102,327500.8064733625,868531.1935266375,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,memory_ratio_vs_exact,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,peak_vram_mb,4,14.31787109375,4.068733362963718,2.034366681481859,7.843608364675781,20.79213382282422,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,prefill_seconds,4,0.0007128500001272,0.0002774598497405,0.0001387299248702,0.0002713494632916,0.0011543505369628,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,decode_seconds,4,0.0035823999969579,0.0013872013913094,0.0006936006956547,0.0013750530257294,0.0057897469681865,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,hidden_cosine_similarity,4,0.9404296875,0.0066711919049216,0.0033355959524608,0.929814332485172,0.951045042514828,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,hidden_mae,4,0.204345703125,0.0248640176884258,0.0124320088442129,0.1647815025114802,0.2439099037385197,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,hidden_mse,4,0.07025146484375,0.0170016967356787,0.0085008483678393,0.0431979713637426,0.0973049583237573,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_cosine_similarity,4,0.9970703125,0.001953125,0.0009765625,0.9939624547799965,1.0001781702200037,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_mae,4,14.546875,0.8026242764623225,0.4013121382311612,13.269720668420735,15.824029331579265,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_mse,4,336.0,29.43920288775949,14.719601443879744,289.15565876967617,382.84434123032383,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_spearman,4,0.9783432632684708,0.0070011998150778,0.0035005999075389,0.967202792026447,0.9894837345104944,H:\Qwen3.5-9B-official-hf,captured
