dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high
paper_captured,exact,exact,,attention_output_relative_error,4,0.0,0.0,0.0,0.0,0.0
paper_captured,exact,exact,,decode_seconds,4,0.0014271250038291,0.0021692113247791436,0.0010846056623895718,-0.0020245742791323816,0.004878824286790581
paper_captured,exact,exact,,hidden_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0
paper_captured,exact,exact,,hidden_mae,4,0.0,0.0,0.0,0.0,0.0
paper_captured,exact,exact,,hidden_mse,4,0.0,0.0,0.0,0.0,0.0
paper_captured,exact,exact,,logit_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0
paper_captured,exact,exact,,logit_mae,4,0.0,0.0,0.0,0.0,0.0
paper_captured,exact,exact,,logit_mse,4,0.0,0.0,0.0,0.0,0.0
paper_captured,exact,exact,,logit_spearman,4,1.0,0.0,0.0,1.0,1.0
paper_captured,exact,exact,,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,exact,exact,,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,exact,exact,,logit_top5_overlap,4,1.0,0.0,0.0,1.0,1.0
paper_captured,exact,exact,,memory_bits,4,598016.0,170004.56100548204,85002.28050274102,327500.8064733625,868531.1935266375
paper_captured,exact,exact,,memory_ratio_vs_exact,4,1.0,0.0,0.0,1.0,1.0
paper_captured,exact,exact,,next_logit_kl,4,0.0,0.0,0.0,0.0,0.0
paper_captured,exact,exact,,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,exact,exact,,prefill_seconds,4,0.0016121499975269502,0.0020180628794714208,0.0010090314397357104,-0.0015990383797750618,0.004823338374828962
paper_captured,full_kv,2,2.0,attention_output_relative_error,4,0.34033203125,0.0033355959524608066,0.0016677979762304033,0.33502435374258593,0.34563970875741407
paper_captured,full_kv,2,2.0,decode_seconds,4,0.10369207499752515,0.19382417306452202,0.09691208653226101,-0.20472543672440385,0.41210958671945414
paper_captured,full_kv,2,2.0,hidden_cosine_similarity,4,0.939453125,0.0067658234670659265,0.0033829117335329633,0.9286871900525171,0.9502190599474829
paper_captured,full_kv,2,2.0,hidden_mae,4,0.205810546875,0.025768114847575706,0.012884057423787853,0.16480772592960322,0.24681336782039678
paper_captured,full_kv,2,2.0,hidden_mse,4,0.07086181640625,0.017125120538440473,0.008562560269220237,0.04361192811370099,0.09811170469879901
paper_captured,full_kv,2,2.0,logit_cosine_similarity,4,0.9951171875,0.001953125,0.0009765625,0.9920093297799963,0.9982250452200037
paper_captured,full_kv,2,2.0,logit_mae,4,16.28125,0.9499177595981665,0.47495887979908324,14.76971886782172,17.79278113217828
paper_captured,full_kv,2,2.0,logit_mse,4,420.0,36.3318042491699,18.16590212458495,362.18799190146916,477.81200809853084
paper_captured,full_kv,2,2.0,logit_spearman,4,0.9779309183359146,0.00268258178265277,0.001341290891326385,0.9736623320945023,0.982199504577327
paper_captured,full_kv,2,2.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,2,2.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,2,2.0,logit_top5_overlap,4,0.8468749970197678,0.04827763906060023,0.024138819530300115,0.770054499991654,0.9236954940478815
paper_captured,full_kv,2,2.0,memory_bits,4,78256.0,22246.690600326754,11123.345300163377,42856.55084710017,113655.44915289983
paper_captured,full_kv,2,2.0,memory_ratio_vs_exact,4,0.130859375,0.0,0.0,0.130859375,0.130859375
