mode,bit_setting,logit_cosine_mean_pm_mse,logit_cosine_similarity_mean,logit_cosine_similarity_mse,hidden_cosine_mean_pm_mse,hidden_cosine_similarity_mean,hidden_cosine_similarity_mse,memory_ratio_mean_pm_mse,memory_ratio_vs_exact_mean,memory_ratio_vs_exact_mse
key_only_random,2,0.995117 +/- 420.000000,0.9951171875,420.0,0.997070 +/- 0.001904,0.9970703125,0.00190401077270505,0.566406 +/- 0.566406,0.56640625,0.56640625
key_only_random,2.5,0.998047 +/- 196.750000,0.998046875,196.75,0.999023 +/- 0.000778,0.9990234375,0.0007776021957397,0.574219 +/- 0.574219,0.57421875,0.57421875
key_only_random,3,1.000000 +/- 122.500000,1.0,122.5,0.998047 +/- 0.000374,0.998046875,0.000374317169189425,0.597656 +/- 0.597656,0.59765625,0.59765625
key_only_random,3.5,0.999023 +/- 91.125000,0.9990234375,91.125,0.999023 +/- 0.000131,0.9990234375,0.00013107061386105742,0.605469 +/- 0.605469,0.60546875,0.60546875
key_only_random,4,0.998047 +/- 38.937500,0.998046875,38.9375,0.999023 +/- 0.000059,0.9990234375,5.8770179748535156e-05,0.628906 +/- 0.628906,0.62890625,0.62890625
full_kv,2,0.995117 +/- 420.000000,0.9951171875,420.0,0.939453 +/- 0.070862,0.939453125,0.07086181640625,0.130859 +/- 0.130859,0.130859375,0.130859375
full_kv,2.5,0.998047 +/- 196.750000,0.998046875,196.75,0.957031 +/- 0.050110,0.95703125,0.05010986328125,0.146484 +/- 0.146484,0.146484375,0.146484375
full_kv,3,1.000000 +/- 122.500000,1.0,122.5,0.980469 +/- 0.020782,0.98046875,0.020782470703125,0.193359 +/- 0.193359,0.193359375,0.193359375
full_kv,3.5,0.999023 +/- 91.125000,0.9990234375,91.125,0.988281 +/- 0.013870,0.98828125,0.0138702392578125,0.208984 +/- 0.208984,0.208984375,0.208984375
full_kv,4,0.998047 +/- 38.937500,0.998046875,38.9375,0.995117 +/- 0.005730,0.9951171875,0.00572967529296875,0.255859 +/- 0.255859,0.255859375,0.255859375
