layer,bits,bit_setting,view,mode,rotation_path,rotation_seed,qjl_seed
0,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_vector.pt,70217,70271
0,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_spinor_plus_proxy.pt,70474,70528
0,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2_spinor_minus_proxy.pt,70731,70785
0,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2.5_vector.pt,70267,70321
0,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2.5_spinor_plus_proxy.pt,70524,70578
0,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_2.5_spinor_minus_proxy.pt,70781,70835
0,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_3_vector.pt,70317,70371
0,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_3_spinor_plus_proxy.pt,70574,70628
0,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_3_spinor_minus_proxy.pt,70831,70885
0,3.5,3.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_3.5_vector.pt,70367,70421
0,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_3.5_spinor_plus_proxy.pt,70624,70678
0,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_3.5_spinor_minus_proxy.pt,70881,70935
0,4.0,4,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_4_vector.pt,70417,70471
0,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_4_spinor_plus_proxy.pt,70674,70728
0,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_4_spinor_minus_proxy.pt,70931,70985
0,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_8_vector.pt,70817,70871
0,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_8_spinor_plus_proxy.pt,71074,71128
0,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_00_bits_8_spinor_minus_proxy.pt,71331,71385
1,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_2_vector.pt,72220,72274
1,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_2_spinor_plus_proxy.pt,72477,72531
1,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_2_spinor_minus_proxy.pt,72734,72788
1,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_2.5_vector.pt,72270,72324
1,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_2.5_spinor_plus_proxy.pt,72527,72581
1,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_2.5_spinor_minus_proxy.pt,72784,72838
1,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_3_vector.pt,72320,72374
1,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_3_spinor_plus_proxy.pt,72577,72631
1,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_3_spinor_minus_proxy.pt,72834,72888
1,3.5,3.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_3.5_vector.pt,72370,72424
1,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_3.5_spinor_plus_proxy.pt,72627,72681
1,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_3.5_spinor_minus_proxy.pt,72884,72938
1,4.0,4,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_4_vector.pt,72420,72474
1,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_4_spinor_plus_proxy.pt,72677,72731
1,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_4_spinor_minus_proxy.pt,72934,72988
1,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_8_vector.pt,72820,72874
1,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_8_spinor_plus_proxy.pt,73077,73131
1,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_01_bits_8_spinor_minus_proxy.pt,73334,73388
2,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_2_vector.pt,74223,74277
2,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_2_spinor_plus_proxy.pt,74480,74534
2,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_2_spinor_minus_proxy.pt,74737,74791
2,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_2.5_vector.pt,74273,74327
2,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_2.5_spinor_plus_proxy.pt,74530,74584
2,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_2.5_spinor_minus_proxy.pt,74787,74841
2,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_3_vector.pt,74323,74377
2,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_3_spinor_plus_proxy.pt,74580,74634
2,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_3_spinor_minus_proxy.pt,74837,74891
2,3.5,3.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_3.5_vector.pt,74373,74427
2,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_3.5_spinor_plus_proxy.pt,74630,74684
2,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_3.5_spinor_minus_proxy.pt,74887,74941
2,4.0,4,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_4_vector.pt,74423,74477
2,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_4_spinor_plus_proxy.pt,74680,74734
2,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_4_spinor_minus_proxy.pt,74937,74991
2,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_8_vector.pt,74823,74877
2,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_8_spinor_plus_proxy.pt,75080,75134
2,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_02_bits_8_spinor_minus_proxy.pt,75337,75391
3,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_2_vector.pt,76226,76280
3,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_2_spinor_plus_proxy.pt,76483,76537
3,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_2_spinor_minus_proxy.pt,76740,76794
3,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_2.5_vector.pt,76276,76330
3,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_2.5_spinor_plus_proxy.pt,76533,76587
3,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_2.5_spinor_minus_proxy.pt,76790,76844
3,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_3_vector.pt,76326,76380
3,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_3_spinor_plus_proxy.pt,76583,76637
3,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_3_spinor_minus_proxy.pt,76840,76894
