layer,bits,bit_setting,view,mode,rotation_seed,qjl_seed,prompt_count,token_count,orthogonality_error,rotation_determinant_error_max,train_logit_cosine_similarity,train_logit_mse
0,2.0,2,vector,key_only_block_so8_triality_vector,70217,70271,4,73,0.0044951289892196655,0.0071985349270897725,0.9921875,462.0
0,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,70474,70528,4,73,0.003829479217529297,0.003942404826586587,0.9921875,378.0
0,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,70731,70785,4,73,0.004538059234619141,0.005558850378573954,1.0,398.0
0,2.5,2.5,vector,key_only_block_so8_triality_vector,70267,70321,4,73,0.0044951289892196655,0.0071985349270897725,0.9921875,300.0
0,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,70524,70578,4,73,0.003829479217529297,0.003942404826586587,1.0,312.0
0,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,70781,70835,4,73,0.004538059234619141,0.005558850378573954,0.9921875,292.0
0,3.0,3,vector,key_only_block_so8_triality_vector,70317,70371,4,73,0.004869997501373291,0.0035865642646970564,0.98828125,184.0
0,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,70574,70628,4,73,0.0042417049407958984,0.006680732494163122,0.9921875,161.0
0,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,70831,70885,4,73,0.004652347415685654,0.006432436283196452,1.0,205.0
0,3.5,3.5,vector,key_only_block_so8_triality_vector,70367,70421,4,73,0.004869997501373291,0.0035865642646970564,1.0,119.0
0,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,70624,70678,4,73,0.0042417049407958984,0.006680732494163122,0.9921875,129.0
0,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,70881,70935,4,73,0.004652347415685654,0.006432436283196452,1.0,99.0
0,4.0,4,vector,key_only_block_so8_triality_vector,70417,70471,4,73,0.004707470536231995,0.006427305207942435,1.0,62.5
0,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,70674,70728,4,73,0.004540920257568359,0.006081507226463501,1.0,58.25
0,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,70931,70985,4,73,0.005289118736982346,0.007681875964232865,1.0,59.25
0,8.0,8,vector,key_only_block_so8_triality_vector,70817,70871,4,73,0.0048600174486637115,0.004900561734938469,0.9921875,2.734375
0,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,71074,71128,4,73,0.004767894744873047,0.005657420493805354,0.9921875,2.671875
0,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,71331,71385,4,73,0.005174592137336731,0.008674837823613779,0.9921875,2.375
